id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
63;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Dennis Strong;masculino;Dinheiro
64;Rio de Jameiro;Juliana Almeida;Smartwatch;Dorothy Prado;feminino;Boleto
65;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Nydia Jozwiak;feminino;PIX
66;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Cheryl Garza;feminino;Boleto
67;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Louis Bowens;masculino;PIX
68;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;William Curran;masculino;Boleto
69;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Byron Musigdilok;masculino;PIX
70;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Tony Mcquiston;masculino;Dinheiro
71;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Buddy Fuhr;masculino;Boleto
72;Belo Horizonte;Carlos Silva;Smartwatch;Tamara Royse;feminino;Boleto
73;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Russell Rickey;masculino;cartão de Credito
74;Florianopolis;Gabriela Santos;Smartphone Samsung Galaxy;Marsha Bell;feminino;Boleto
75;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Pierre Leavitt;masculino;Boleto
76;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Chelsey Reynolds;feminino;cartão de Credito
77;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Samuel Tillman;masculino;PIX
78;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Juanita Anderson;feminino;cartão de Credito
79;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Alfred Johnson;masculino;Boleto
80;Florianopolis;Tiago Lima;Tablet Apple Ipad;Walter Higgins;masculino;PIX
81;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Steven Nestor;masculino;cartão de Credito
82;Rio de Jameiro;Juliana Almeida;Notebook Dell Inspiriom;Heidi Reed;feminino;PIX
83;São Paulo;Lucas Pereira;Tablet Apple Ipad;Elizabeth Shields;feminino;PIX
84;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Jonathan Chasse;masculino;Dinheiro
85;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Leonard Francescone;masculino;PIX
86;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Barbara Rasmussen;feminino;Boleto
87;São Paulo;Lucas Pereira;Tablet Apple Ipad;Samuel Davis;masculino;Dinheiro
88;São Paulo;Lucas Pereira;Tablet Apple Ipad;Myra Salazar;feminino;cartão de Credito
89;Florianopolis;Tiago Lima;Notebook Dell Inspiriom;Candice Cooper;feminino;PIX
90;Florianopolis;Tiago Lima;Tablet Apple Ipad;Ida Batdorf;feminino;PIX
91;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Lynette Westfall;feminino;Boleto
92;São Paulo;Ana Oliveira;Smartwatch;James Sears;masculino;cartão de Credito
93;São Paulo;Lucas Pereira;Tablet Apple Ipad;Mary Griffin;feminino;cartão de Credito
94;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Harley Tusing;masculino;PIX
95;Florianopolis;Gabriela Santos;Fone de Ouvido Sony;Don Delgado;masculino;Dinheiro
96;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Beth Valdes;feminino;Dinheiro
97;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Dana Farias;feminino;Dinheiro
98;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Ruth Campbell;feminino;Boleto
99;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;James Dawson;masculino;Dinheiro
100;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Tom Juarez;masculino;Boleto
101;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Linda Whitlow;feminino;PIX
102;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Greg Conway;masculino;cartão de Credito
103;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Tiffany Jenkins;feminino;cartão de Credito
104;São Paulo;Lucas Pereira;Fone de Ouvido Sony;James Glass;masculino;Boleto
105;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Beatrice Hanna;feminino;PIX
106;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Donald Dorsey;masculino;Boleto
107;Porto Alegre;Mariana Gomes;Smartwatch;Jenni Metzler;feminino;cartão de Credito
108;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Mary Bennett;feminino;cartão de Credito
109;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Jerri Stearns;feminino;Boleto
110;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Christopher Johnson;masculino;Dinheiro
111;São Paulo;Lucas Pereira;Tablet Apple Ipad;Cecilia Ellis;feminino;Dinheiro
112;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Diane Trinidad;feminino;PIX
113;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Daniel Fisher;masculino;Boleto
114;Florianopolis;Gabriela Santos;Notebook Dell Inspiriom;Michael Samuel;masculino;Boleto
115;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Marcia Pritchard;feminino;Boleto
116;São Paulo;Lucas Pereira;Smartwatch;Timothy Peters;masculino;Boleto
117;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;James Roth;masculino;Dinheiro
118;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Brian Basbas;masculino;Dinheiro
119;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Katrina Barrett;feminino;Boleto
120;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Wallace Demaire;masculino;Boleto
121;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Kaitlyn Miles;feminino;Dinheiro
122;Florianopolis;Tiago Lima;Tablet Apple Ipad;Tracey Thomas;feminino;Dinheiro
123;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Babette Forker;feminino;cartão de Credito
124;Porto Alegre;Mariana Gomes;Smartwatch;Joseph Robinson;masculino;cartão de Credito
125;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Gregory Cutchall;masculino;cartão de Credito
126;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Roselia Avilla;feminino;Dinheiro
127;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Pedro Swenson;masculino;PIX
128;Florianopolis;Tiago Lima;Tablet Apple Ipad;Lawrence Hart;masculino;PIX
129;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Cheryl Quick;feminino;Dinheiro
130;Belo Horizonte;Fernanda Costa;Smartwatch;Shannon Stevens;feminino;Boleto
131;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Marybeth Harris;feminino;Boleto
132;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Scott Oneal;masculino;cartão de Credito
133;Belo Horizonte;Fernanda Costa;Smartwatch;Jennifer Sanchez;feminino;Boleto
134;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Wendy Schleicher;feminino;cartão de Credito
135;Florianopolis;Gabriela Santos;Notebook Dell Inspiriom;Mary Valenti;feminino;PIX
136;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Roland Ward;masculino;Dinheiro
137;Rio de Jameiro;Pedro Souza;Smartwatch;Margrett Briggs;feminino;Dinheiro
138;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Robert Aiken;masculino;cartão de Credito
139;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Marci Burks;feminino;PIX
140;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Donnell Davidson;masculino;Dinheiro
141;Rio de Jameiro;Juliana Almeida;Smartphone Samsung Galaxy;Karen Pastorin;feminino;cartão de Credito
142;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Lita Stevenson;feminino;Boleto
143;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Robin Iverson;feminino;PIX
144;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Phillip Valenti;masculino;PIX
145;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Mary Cutlip;feminino;PIX
146;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Robert Stine;masculino;PIX
147;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Larry Adams;masculino;Boleto
148;Florianopolis;Gabriela Santos;Smartphone Samsung Galaxy;Grace Robertson;feminino;cartão de Credito
149;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Ana Mittman;feminino;Dinheiro
150;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Herbert Blackburn;masculino;PIX
151;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Jessica Gilbert;feminino;Boleto
152;Rio de Jameiro;Juliana Almeida;Smartphone Samsung Galaxy;Jerry Towers;masculino;Boleto
153;Porto Alegre;Mariana Gomes;Smartwatch;Thomas Torres;masculino;Boleto
154;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Karen Mitchiner;feminino;cartão de Credito
155;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;David Semaan;masculino;Dinheiro
156;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Georgia Salmons;feminino;Boleto
157;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Timothy Rivers;masculino;cartão de Credito
158;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Ida Fleniken;feminino;PIX
159;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Barbara Mason;feminino;cartão de Credito
160;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Nadine Batchelor;feminino;Boleto
161;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Jacquelyn Proffitt;feminino;Boleto
162;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Curtis Sapp;masculino;PIX
163;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Tina Castillo;feminino;Boleto
164;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Jonathon Haught;masculino;Dinheiro
165;Florianopolis;Tiago Lima;Smartwatch;Shannon Miller;feminino;PIX
166;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;David Jose;masculino;Dinheiro
167;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Michael Scott;masculino;cartão de Credito
168;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Linda Hayes;feminino;Boleto
169;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Chuck Mcintosh;masculino;Dinheiro
170;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Joe Cleveland;masculino;cartão de Credito
171;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Allan Rominger;masculino;cartão de Credito
172;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Jason Fouse;masculino;Dinheiro
173;Rio de Jameiro;Juliana Almeida;Tablet Apple Ipad;James Bulson;masculino;Boleto
174;Florianopolis;Tiago Lima;Smartwatch;Amanda Walker;feminino;Boleto
175;São Paulo;Ana Oliveira;Smartwatch;James Collings;masculino;PIX
176;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Teresita Haynes;feminino;PIX
177;São Paulo;Ana Oliveira;Tablet Apple Ipad;Marlon Crump;masculino;Boleto
178;São Paulo;Lucas Pereira;Notebook Dell Inspiriom;Amy Espinoza;feminino;Dinheiro
179;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Erick Wolfe;masculino;PIX
180;Belo Horizonte;Fernanda Costa;Smartwatch;Don Adrian;masculino;Boleto
181;Florianopolis;Tiago Lima;Tablet Apple Ipad;Tonya Brummell;feminino;PIX
182;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Barbara Mulkey;feminino;PIX
183;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Cora Watts;feminino;cartão de Credito
184;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Carrie Paul;feminino;PIX
185;Florianopolis;Gabriela Santos;Fone de Ouvido Sony;Johnny Broom;masculino;Dinheiro
186;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Tamika Burns;feminino;Dinheiro
187;Florianopolis;Gabriela Santos;Fone de Ouvido Sony;Michael Harris;masculino;Boleto
188;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Doris Herrera;feminino;PIX
189;Rio de Jameiro;Juliana Almeida;Smartphone Samsung Galaxy;Christa Alford;feminino;cartão de Credito
190;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Debra Bynum;feminino;Dinheiro
191;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Sandy French;masculino;cartão de Credito
192;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Joanna Christopher;feminino;cartão de Credito
193;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Tamara Thompson;feminino;cartão de Credito
194;Rio de Jameiro;Juliana Almeida;Tablet Apple Ipad;James Irby;masculino;Dinheiro
195;São Paulo;Ana Oliveira;Smartwatch;Gregory Hunt;masculino;Dinheiro
196;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Miguel Ellsworth;masculino;Boleto
197;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;James Stokes;masculino;Boleto
198;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Thomas Smith;masculino;Boleto
199;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Adam Sumrall;masculino;PIX
200;Rio de Jameiro;Pedro Souza;Smartwatch;Velia James;feminino;cartão de Credito
201;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Shelley West;feminino;PIX
202;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Lesley Luce;feminino;Boleto
203;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Mack Campion;masculino;PIX
204;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Sarah Luksa;feminino;cartão de Credito
205;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Harry Burchell;masculino;PIX
206;Rio de Jameiro;Juliana Almeida;Smartwatch;Lorna Leischner;feminino;cartão de Credito
207;Florianopolis;Tiago Lima;Notebook Dell Inspiriom;Ricky Mcdougle;masculino;PIX
208;São Paulo;Ana Oliveira;Tablet Apple Ipad;Diana Havenhill;feminino;PIX
209;Belo Horizonte;Carlos Silva;Smartwatch;Jeffrey Riddell;masculino;PIX
210;Florianopolis;Tiago Lima;Tablet Apple Ipad;Joe Warney;masculino;Boleto
211;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Maria Horn;feminino;cartão de Credito
212;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Juan Stout;masculino;cartão de Credito
213;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Nick Parker;masculino;Dinheiro
214;Florianopolis;Tiago Lima;Fone de Ouvido Sony;Brian Hubbard;masculino;Boleto
215;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Jose Daniel;masculino;Dinheiro
216;São Paulo;Ana Oliveira;Tablet Apple Ipad;Frederick Suh;masculino;Boleto
217;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Francine Cirrincione;feminino;cartão de Credito
218;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiriom;Jimmy Hernandez;masculino;PIX
219;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Lawrence Hall;masculino;Boleto
220;Porto Alegre;Mariana Gomes;Smartwatch;Nathan Cox;masculino;Boleto
221;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Cindy Clark;feminino;cartão de Credito
222;São Paulo;Ana Oliveira;Smartwatch;Terri Henson;feminino;Dinheiro
223;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;William Watkins;masculino;Boleto
224;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Tina Stokes;feminino;PIX
225;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Bill Millhiser;masculino;cartão de Credito
226;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Flora Williams;feminino;Dinheiro
227;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;George Perry;masculino;Boleto
228;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Charles Hittle;masculino;PIX
229;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Blake Stacy;feminino;PIX
230;Rio de Jameiro;Pedro Souza;Smartphone Samsung Galaxy;Jacqueline Lawlor;feminino;Dinheiro
231;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Eula Glass;feminino;PIX
232;Florianopolis;Tiago Lima;Smartphone Samsung Galaxy;Alfreda Jemison;feminino;Dinheiro
233;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Troy Anderson;masculino;PIX
234;Florianopolis;Gabriela Santos;Smartwatch;Steven Ocegueda;masculino;cartão de Credito
235;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiriom;Johnny Parra;masculino;cartão de Credito
236;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Jason Porter;masculino;PIX
237;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Kelly Pribble;feminino;PIX
238;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Lisa Stills;feminino;Boleto
239;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Ginger Mckissack;feminino;Boleto
240;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Leslie Rosebrough;masculino;Boleto
241;Florianopolis;Tiago Lima;Tablet Apple Ipad;Mark Croft;masculino;PIX
242;São Paulo;Ana Oliveira;Smartwatch;Walter Gouveia;masculino;Boleto
243;Rio de Jameiro;Pedro Souza;Fone de Ouvido Sony;Susan Monge;feminino;PIX
244;Florianopolis;Gabriela Santos;Smartphone Samsung Galaxy;Lawrence Shannon;masculino;cartão de Credito
245;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;John Ligon;masculino;Dinheiro
246;São Paulo;Ana Oliveira;Tablet Apple Ipad;Sergio Flores;masculino;Boleto
247;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Randy Quintana;masculino;cartão de Credito
248;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Ann Phillips;feminino;cartão de Credito
249;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Oscar Baker;masculino;Dinheiro
250;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Florence Sanders;feminino;Dinheiro
251;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Linda Murdock;feminino;cartão de Credito
252;Florianopolis;Gabriela Santos;Fone de Ouvido Sony;Tyrone Whitehead;masculino;Dinheiro
253;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Jessica Binkley;feminino;PIX
254;Rio de Jameiro;Juliana Almeida;Fone de Ouvido Sony;Gerardo Young;masculino;cartão de Credito
255;Belo Horizonte;Carlos Silva;Smartwatch;Loretta Cockrell;feminino;Dinheiro
256;Florianopolis;Gabriela Santos;Tablet Apple Ipad;Peter Preston;masculino;Boleto
257;Porto Alegre;Mariana Gomes;Notebook Dell Inspiriom;Tarsha Hembree;feminino;cartão de Credito
258;Rio de Jameiro;Pedro Souza;Smartwatch;Kenny Winnen;masculino;Boleto
259;Florianopolis;Gabriela Santos;Smartwatch;Salvador Menke;masculino;Boleto
260;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Lisa Placido;feminino;Dinheiro
261;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Helen Mckay;feminino;Boleto
262;Belo Horizonte;Fernanda Costa;Smartwatch;Susan Winkelpleck;feminino;cartão de Credito
263;Florianopolis;Gabriela Santos;Notebook Dell Inspiriom;Lisa Cupples;feminino;PIX
264;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Clarence Verrett;masculino;PIX
265;Rio de Jameiro;Pedro Souza;Tablet Apple Ipad;Donna Poole;feminino;Dinheiro
266;Belo Horizonte;Carlos Silva;Notebook Dell Inspiriom;Kathleen Aldrich;feminino;cartão de Credito
267;Florianopolis;Gabriela Santos;Smartphone Samsung Galaxy;Margot Dillard;feminino;cartão de Credito
268;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Elizabeth Thomas;feminino;Boleto
269;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Rolando Jackson;masculino;PIX
270;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Edward Worthing;masculino;cartão de Credito
271;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Cheryl Gilliland;feminino;Boleto
272;São Paulo;Ana Oliveira;Notebook Dell Inspiriom;Gaylord Castaneda;masculino;Dinheiro
273;São Paulo;Lucas Pereira;Smartwatch;Leroy Mccullough;masculino;Boleto
274;Belo Horizonte;Carlos Silva;Smartwatch;Anthony Measheaw;masculino;PIX
275;Belo Horizonte;Carlos Silva;Smartwatch;James Arnold;masculino;Boleto
276;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Andre Paradiso;masculino;Dinheiro
277;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Alma Jones;feminino;Boleto
278;Rio de Jameiro;Pedro Souza;Notebook Dell Inspiriom;Elizabeth Starkey;feminino;Boleto
279;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Dora Currier;feminino;Boleto
280;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Rosa Davies;feminino;Boleto
